time_key,full_time,hour,minute,second,period,shift
436,00:04:36.0000000,0,4,36,AM,Night
437,00:04:37.0000000,0,4,37,AM,Night
438,00:04:38.0000000,0,4,38,AM,Night
439,00:04:39.0000000,0,4,39,AM,Night
440,00:04:40.0000000,0,4,40,AM,Night
441,00:04:41.0000000,0,4,41,AM,Night
442,00:04:42.0000000,0,4,42,AM,Night
443,00:04:43.0000000,0,4,43,AM,Night
444,00:04:44.0000000,0,4,44,AM,Night
445,00:04:45.0000000,0,4,45,AM,Night
446,00:04:46.0000000,0,4,46,AM,Night
447,00:04:47.0000000,0,4,47,AM,Night
448,00:04:48.0000000,0,4,48,AM,Night
449,00:04:49.0000000,0,4,49,AM,Night
450,00:04:50.0000000,0,4,50,AM,Night
451,00:04:51.0000000,0,4,51,AM,Night
452,00:04:52.0000000,0,4,52,AM,Night
453,00:04:53.0000000,0,4,53,AM,Night
454,00:04:54.0000000,0,4,54,AM,Night
455,00:04:55.0000000,0,4,55,AM,Night
456,00:04:56.0000000,0,4,56,AM,Night
457,00:04:57.0000000,0,4,57,AM,Night
458,00:04:58.0000000,0,4,58,AM,Night
459,00:04:59.0000000,0,4,59,AM,Night
500,00:05:00.0000000,0,5,0,AM,Night
501,00:05:01.0000000,0,5,1,AM,Night
502,00:05:02.0000000,0,5,2,AM,Night
503,00:05:03.0000000,0,5,3,AM,Night
504,00:05:04.0000000,0,5,4,AM,Night
505,00:05:05.0000000,0,5,5,AM,Night
506,00:05:06.0000000,0,5,6,AM,Night
507,00:05:07.0000000,0,5,7,AM,Night
508,00:05:08.0000000,0,5,8,AM,Night
509,00:05:09.0000000,0,5,9,AM,Night
510,00:05:10.0000000,0,5,10,AM,Night
511,00:05:11.0000000,0,5,11,AM,Night
512,00:05:12.0000000,0,5,12,AM,Night
513,00:05:13.0000000,0,5,13,AM,Night
514,00:05:14.0000000,0,5,14,AM,Night
515,00:05:15.0000000,0,5,15,AM,Night
516,00:05:16.0000000,0,5,16,AM,Night
517,00:05:17.0000000,0,5,17,AM,Night
518,00:05:18.0000000,0,5,18,AM,Night
519,00:05:19.0000000,0,5,19,AM,Night
520,00:05:20.0000000,0,5,20,AM,Night
521,00:05:21.0000000,0,5,21,AM,Night
522,00:05:22.0000000,0,5,22,AM,Night
523,00:05:23.0000000,0,5,23,AM,Night
524,00:05:24.0000000,0,5,24,AM,Night
